2019_05_26_22_02_13 : Category Non-lin-NI_1, N = 5k, d_z = 10, k = 3  True CMI = 0.26733686905400667, Est. CMI = 0.13982911589603442 ,
2019_05_26_22_02_15 : Category Non-lin-NI_1, N = 5k, d_z = 10, k = 5  True CMI = 0.26733686905400667, Est. CMI = 0.1312899834876955 ,
2019_05_26_22_02_18 : Category Non-lin-NI_1, N = 5k, d_z = 10, k = 10  True CMI = 0.26733686905400667, Est. CMI = 0.11699485148919075 ,
2019_05_26_22_02_23 : Category Non-lin-NI_2, N = 10k, d_z = 10, k = 3  True CMI = 0.4414272698629488, Est. CMI = 0.18402094633109323 ,
2019_05_26_22_02_28 : Category Non-lin-NI_2, N = 10k, d_z = 10, k = 5  True CMI = 0.4414272698629488, Est. CMI = 0.17118354532183222 ,
2019_05_26_22_02_35 : Category Non-lin-NI_2, N = 10k, d_z = 10, k = 10  True CMI = 0.4414272698629488, Est. CMI = 0.14909763273767007 ,
2019_05_26_22_02_47 : Category Non-lin-NI_3, N = 20k, d_z = 10, k = 3  True CMI = 0.2761208966246932, Est. CMI = 0.14654507708872744 ,
2019_05_26_22_03_01 : Category Non-lin-NI_3, N = 20k, d_z = 10, k = 5  True CMI = 0.2761208966246932, Est. CMI = 0.1396536223052407 ,
2019_05_26_22_03_17 : Category Non-lin-NI_3, N = 20k, d_z = 10, k = 10  True CMI = 0.2761208966246932, Est. CMI = 0.12904883969732106 ,
2019_05_26_22_03_56 : Category Non-lin-NI_4, N = 50k, d_z = 10, k = 3  True CMI = 0.46306335607134747, Est. CMI = 0.2502195083229112 ,
2019_05_26_22_04_42 : Category Non-lin-NI_4, N = 50k, d_z = 10, k = 5  True CMI = 0.46306335607134747, Est. CMI = 0.2354775094975743 ,
2019_05_26_22_05_37 : Category Non-lin-NI_4, N = 50k, d_z = 10, k = 10  True CMI = 0.46306335607134747, Est. CMI = 0.21551211097368794 ,
2019_05_26_22_05_42 : Category Non-lin-NI_5, N = 5k, d_z = 20, k = 3  True CMI = 0.2816014892464159, Est. CMI = 0.061191762807324745 ,
2019_05_26_22_05_48 : Category Non-lin-NI_5, N = 5k, d_z = 20, k = 5  True CMI = 0.2816014892464159, Est. CMI = 0.057127806562948136 ,
2019_05_26_22_05_54 : Category Non-lin-NI_5, N = 5k, d_z = 20, k = 10  True CMI = 0.2816014892464159, Est. CMI = 0.048350994028351746 ,
2019_05_26_22_06_09 : Category Non-lin-NI_6, N = 10k, d_z = 20, k = 3  True CMI = 0.2802978043129859, Est. CMI = 0.09300513681669387 ,
2019_05_26_22_06_26 : Category Non-lin-NI_6, N = 10k, d_z = 20, k = 5  True CMI = 0.2802978043129859, Est. CMI = 0.08704747258439216 ,
2019_05_26_22_06_44 : Category Non-lin-NI_6, N = 10k, d_z = 20, k = 10  True CMI = 0.2802978043129859, Est. CMI = 0.07861329733654898 ,
2019_05_26_22_07_33 : Category Non-lin-NI_7, N = 20k, d_z = 20, k = 3  True CMI = 0.3730573476118949, Est. CMI = 0.07356455142529816 ,
2019_05_26_22_08_27 : Category Non-lin-NI_7, N = 20k, d_z = 20, k = 5  True CMI = 0.3730573476118949, Est. CMI = 0.06707682596295061 ,
2019_05_26_22_09_27 : Category Non-lin-NI_7, N = 20k, d_z = 20, k = 10  True CMI = 0.3730573476118949, Est. CMI = 0.0571098050261587 ,
2019_05_26_22_12_49 : Category Non-lin-NI_8, N = 50k, d_z = 20, k = 3  True CMI = 0.2850901440636776, Est. CMI = 0.11694929692704814 ,
2019_05_26_22_16_32 : Category Non-lin-NI_8, N = 50k, d_z = 20, k = 5  True CMI = 0.2850901440636776, Est. CMI = 0.11165452413853583 ,
2019_05_26_22_20_44 : Category Non-lin-NI_8, N = 50k, d_z = 20, k = 10  True CMI = 0.2850901440636776, Est. CMI = 0.10246334817064495 ,
2019_05_26_22_20_57 : Category Non-lin-NI_9, N = 5k, d_z = 50, k = 3  True CMI = 0.4072828855855296, Est. CMI = 0.016475288000667665 ,
