2019_05_28_09_44_22 : Category F, N = 5k, d_z = 20, Mimic = cgan, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.31909613210688, Est. CMI = 1.9483186841011046 +- 0.1086577153535902, 
2019_05_28_09_51_21 : Category F, N = 10k, d_z = 20, Mimic = cgan, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.31909613210688, Est. CMI = 2.0354731917381286 +- 0.13927257188044959, 
2019_05_28_10_04_05 : Category F, N = 20k, d_z = 20, Mimic = cgan, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.31909613210688, Est. CMI = 2.1281362533569337 +- 0.059105397885611616, 
2019_05_28_10_34_36 : Category F, N = 50k, d_z = 20, Mimic = cgan, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.31909613210688, Est. CMI = 2.1916120052337646 +- 0.03170466264667455, 
2019_05_28_10_47_00 : Category F, N = 20k, d_z = 1, Mimic = cgan, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.326449908485932, Est. CMI = 2.2854557037353516 +- 0.05714424812063523, 
2019_05_28_10_59_36 : Category F, N = 20k, d_z = 10, Mimic = cgan, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.32225990892523, Est. CMI = 2.2019633531570433 +- 0.07215503411273022, 
2019_05_28_11_12_42 : Category F, N = 20k, d_z = 50, Mimic = cgan, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.3249961655254934, Est. CMI = 1.72126544713974 +- 0.09044405706062221, 
2019_05_28_11_25_43 : Category F, N = 20k, d_z = 100, Mimic = cgan, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.324638071124082, Est. CMI = 1.5033699035644532 +- 0.1760904362588857, 
2019_05_28_11_29_35 : Category G, N = 5k, d_z = 20, Mimic = cgan, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.318655442781739, Est. CMI = 1.9751504063606262 +- 0.07174198740681106, 
2019_05_28_11_36_23 : Category G, N = 10k, d_z = 20, Mimic = cgan, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.318655442781739, Est. CMI = 1.9735169410705566 +- 0.09300129634894001, 
2019_05_28_11_48_38 : Category G, N = 20k, d_z = 20, Mimic = cgan, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.318655442781739, Est. CMI = 2.0869436025619508 +- 0.05070310593285486, 
2019_05_28_12_18_08 : Category G, N = 50k, d_z = 20, Mimic = cgan, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.318655442781739, Est. CMI = 2.191884708404541 +- 0.0381073705875241, 
2019_05_28_12_30_27 : Category G, N = 20k, d_z = 1, Mimic = cgan, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.3074116810974807, Est. CMI = 2.2700260639190675 +- 0.06875776248214895, 
2019_05_28_12_42_59 : Category G, N = 20k, d_z = 10, Mimic = cgan, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.3182682856317696, Est. CMI = 2.177726626396179 +- 0.055586608312343036, 
2019_05_28_12_55_14 : Category G, N = 20k, d_z = 50, Mimic = cgan, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.3108876837565395, Est. CMI = 1.7026641726493836 +- 0.10483774327366903, 
2019_05_28_13_07_37 : Category G, N = 20k, d_z = 100, Mimic = cgan, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.332555289690082, Est. CMI = 1.2355390667915345 +- 0.06183305734361793, 
2019_05_28_13_11_14 : Category Non-lin-NI_1, N = 5k, d_z = 10, Mimic = cgan, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.26733686905400667, Est. CMI = 0.29652281254529955 +- 0.13356046877291697, 
2019_05_28_13_17_48 : Category Non-lin-NI_2, N = 10k, d_z = 10, Mimic = cgan, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.4414272698629488, Est. CMI = 0.3837064951658249 +- 0.04513784140090285, 
2019_05_28_13_30_48 : Category Non-lin-NI_3, N = 20k, d_z = 10, Mimic = cgan, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.2761208966246932, Est. CMI = 0.2780239060521126 +- 0.020642669827929054, 
2019_05_28_14_02_47 : Category Non-lin-NI_4, N = 50k, d_z = 10, Mimic = cgan, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.46306335607134747, Est. CMI = 0.49292170703411103 +- 0.11035338217367353, 
2019_05_28_14_06_36 : Category Non-lin-NI_5, N = 5k, d_z = 20, Mimic = cgan, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.2816014892464159, Est. CMI = -0.5085555605590344 +- 2.3257494872134523, 
2019_05_28_14_13_30 : Category Non-lin-NI_6, N = 10k, d_z = 20, Mimic = cgan, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.2802978043129859, Est. CMI = 0.2474253296852112 +- 0.03965122009512087, 
2019_05_28_14_26_53 : Category Non-lin-NI_7, N = 20k, d_z = 20, Mimic = cgan, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.3730573476118949, Est. CMI = 0.3516505569219589 +- 0.03197684187024725, 
2019_05_28_14_57_59 : Category Non-lin-NI_8, N = 50k, d_z = 20, Mimic = cgan, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.2850901440636776, Est. CMI = 0.2853187769651413 +- 0.020303703345602074, 
2019_05_28_15_01_22 : Category Non-lin-NI_9, N = 5k, d_z = 50, Mimic = cgan, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.4072828855855296, Est. CMI = -3.7639838486909865 +- 4.1693167272543, 
