2019_05_28_09_43_26 : Category F, N = 5k, d_z = 20, Mimic = cvae, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.31909613210688, Est. CMI = 1.874419093132019 +- 0.10013145084622305, 
2019_05_28_09_46_52 : Category F, N = 10k, d_z = 20, Mimic = cvae, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.31909613210688, Est. CMI = 1.9602300643920898 +- 0.11579779174503094, 
2019_05_28_09_52_37 : Category F, N = 20k, d_z = 20, Mimic = cvae, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.31909613210688, Est. CMI = 2.1056149005889893 +- 0.06398981957762837, 
2019_05_28_10_06_31 : Category F, N = 50k, d_z = 20, Mimic = cvae, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.31909613210688, Est. CMI = 2.1711353063583374 +- 0.039939278489764744, 
2019_05_28_10_12_24 : Category F, N = 20k, d_z = 1, Mimic = cvae, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.326449908485932, Est. CMI = 2.2368585109710692 +- 0.0674818788120122, 
2019_05_28_10_18_04 : Category F, N = 20k, d_z = 10, Mimic = cvae, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.32225990892523, Est. CMI = 2.181636190414429 +- 0.06240551958605281, 
2019_05_28_10_23_54 : Category F, N = 20k, d_z = 50, Mimic = cvae, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.3249961655254934, Est. CMI = 1.6704239010810853 +- 0.042081110085789124, 
2019_05_28_10_30_05 : Category F, N = 20k, d_z = 100, Mimic = cvae, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.324638071124082, Est. CMI = 1.1470527648925781 +- 0.0763116779717007, 
2019_05_28_10_32_06 : Category G, N = 5k, d_z = 20, Mimic = cvae, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.318655442781739, Est. CMI = 1.8978880167007446 +- 0.08616675689698235, 
2019_05_28_10_35_34 : Category G, N = 10k, d_z = 20, Mimic = cvae, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.318655442781739, Est. CMI = 1.9242977619171142 +- 0.09682978739883982, 
2019_05_28_10_41_40 : Category G, N = 20k, d_z = 20, Mimic = cvae, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.318655442781739, Est. CMI = 2.0726543784141542 +- 0.09364463077805481, 
2019_05_28_10_55_41 : Category G, N = 50k, d_z = 20, Mimic = cvae, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.318655442781739, Est. CMI = 2.1666774988174438 +- 0.041509631693175446, 
2019_05_28_11_01_43 : Category G, N = 20k, d_z = 1, Mimic = cvae, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.3074116810974807, Est. CMI = 2.255643129348755 +- 0.06201086764723297, 
2019_05_28_11_07_28 : Category G, N = 20k, d_z = 10, Mimic = cvae, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.3182682856317696, Est. CMI = 2.1567028522491456 +- 0.05303355034140055, 
2019_05_28_11_13_15 : Category G, N = 20k, d_z = 50, Mimic = cvae, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.3108876837565395, Est. CMI = 1.6281678557395936 +- 0.05785228647160753, 
