2019_05_28_09_43_30 : Category F, N = 5k, d_z = 20, Mimic = knn, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.31909613210688, Est. CMI = 2.0246112823486326 +- 0.1280860055937388, 
2019_05_28_09_46_16 : Category F, N = 10k, d_z = 20, Mimic = knn, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.31909613210688, Est. CMI = 1.9873101353645324 +- 0.15578473196523482, 
2019_05_28_09_51_51 : Category F, N = 20k, d_z = 20, Mimic = knn, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.31909613210688, Est. CMI = 2.0718496203422547 +- 0.0565932012184736, 
2019_05_28_10_06_49 : Category F, N = 50k, d_z = 20, Mimic = knn, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.31909613210688, Est. CMI = 2.174926686286926 +- 0.02076160525801394, 
2019_05_28_10_11_28 : Category F, N = 20k, d_z = 1, Mimic = knn, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.326449908485932, Est. CMI = 2.245565176010132 +- 0.05417453323149261, 
2019_05_28_10_16_14 : Category F, N = 20k, d_z = 10, Mimic = knn, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.32225990892523, Est. CMI = 2.1630939722061155 +- 0.06382993864346734, 
2019_05_28_10_22_43 : Category F, N = 20k, d_z = 50, Mimic = knn, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.3249961655254934, Est. CMI = 1.7002359747886657 +- 0.07412742815894693, 
2019_05_28_10_30_39 : Category F, N = 20k, d_z = 100, Mimic = knn, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.324638071124082, Est. CMI = 1.1345882892608643 +- 0.10992374194550524, 
2019_05_28_10_32_17 : Category G, N = 5k, d_z = 20, Mimic = knn, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.318655442781739, Est. CMI = 1.9778311252593994 +- 0.0909752194711998, 
2019_05_28_10_35_06 : Category G, N = 10k, d_z = 20, Mimic = knn, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.318655442781739, Est. CMI = 2.0663139820098877 +- 0.09939749195431101, 
2019_05_28_10_40_28 : Category G, N = 20k, d_z = 20, Mimic = knn, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.318655442781739, Est. CMI = 2.134328317642212 +- 0.04418092273171772, 
2019_05_28_10_55_44 : Category G, N = 50k, d_z = 20, Mimic = knn, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.318655442781739, Est. CMI = 2.2441413164138795 +- 0.024531048659963264, 
2019_05_28_11_00_16 : Category G, N = 20k, d_z = 1, Mimic = knn, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.3074116810974807, Est. CMI = 2.261795258522034 +- 0.04858647341618878, 
2019_05_28_11_04_55 : Category G, N = 20k, d_z = 10, Mimic = knn, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.3182682856317696, Est. CMI = 2.231516933441162 +- 0.06416012716884356, 
2019_05_28_11_11_23 : Category G, N = 20k, d_z = 50, Mimic = knn, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.3108876837565395, Est. CMI = 1.7389519453048705 +- 0.061794293957210686, 
2019_05_28_11_19_28 : Category G, N = 20k, d_z = 100, Mimic = knn, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.332555289690082, Est. CMI = 1.3589675903320313 +- 0.06269146476579172, 
2019_05_28_11_21_01 : Category Non-lin-NI_1, N = 5k, d_z = 10, Mimic = knn, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.26733686905400667, Est. CMI = 0.23743360340595246 +- 0.037628390691876276, 
2019_05_28_11_23_38 : Category Non-lin-NI_2, N = 10k, d_z = 10, Mimic = knn, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.4414272698629488, Est. CMI = 0.37179133892059324 +- 0.027542544832457393, 
2019_05_28_11_28_20 : Category Non-lin-NI_3, N = 20k, d_z = 10, Mimic = knn, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.2761208966246932, Est. CMI = 0.2650995641946793 +- 0.015383737919055288, 
2019_05_28_11_39_34 : Category Non-lin-NI_4, N = 50k, d_z = 10, Mimic = knn, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.46306335607134747, Est. CMI = 0.4305674880743027 +- 0.01032387699500544, 
2019_05_28_11_41_09 : Category Non-lin-NI_5, N = 5k, d_z = 20, Mimic = knn, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.2816014892464159, Est. CMI = 0.13211966753005983 +- 0.1223671847007745, 
2019_05_28_11_43_56 : Category Non-lin-NI_6, N = 10k, d_z = 20, Mimic = knn, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.2802978043129859, Est. CMI = 0.2373223602771759 +- 0.027798108442845918, 
2019_05_28_11_49_21 : Category Non-lin-NI_7, N = 20k, d_z = 20, Mimic = knn, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.3730573476118949, Est. CMI = 0.323291090130806 +- 0.004962271835182019, 
2019_05_28_12_11_53 : Category Non-lin-NI_8, N = 50k, d_z = 20, Mimic = knn, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.2850901440636776, Est. CMI = 0.2788222342729568 +- 0.011337153879137774, 
2019_05_28_12_14_20 : Category Non-lin-NI_9, N = 5k, d_z = 50, Mimic = knn, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.4072828855855296, Est. CMI = 0.05962114278227091 +- 0.04536004806105598, 
2019_05_28_12_21_30 : Category Non-lin-NI_10, N = 10k, d_z = 50, Mimic = knn, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.3529036578736936, Est. CMI = 0.054838665015995505 +- 0.03726388152077737, 
2019_05_28_12_36_15 : Category Non-lin-NI_11, N = 20k, d_z = 50, Mimic = knn, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.2841805419847202, Est. CMI = 0.11194935962557792 +- 0.02146041758685322, 
2019_05_28_13_32_54 : Category Non-lin-NI_12, N = 50k, d_z = 50, Mimic = knn, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.2893739188652623, Est. CMI = 0.22410491108894348 +- 0.01215906007720907, 
2019_05_28_13_38_20 : Category Non-lin-NI_13, N = 5k, d_z = 100, Mimic = knn, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.7385165055642087, Est. CMI = -0.18105650637298823 +- 0.12560100652390144, 
