2019_05_27_15_03_06 : Category F, N = 5k, d_z = 20, Mimic = mi_diff, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.31909613210688, Est. CMI = 2.0310239791870117 +- 0.1269455999135971, 
2019_05_27_15_12_03 : Category F, N = 10k, d_z = 20, Mimic = mi_diff, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.31909613210688, Est. CMI = 2.0678763389587402 +- 0.05400572717189789, 
2019_05_27_15_28_43 : Category F, N = 20k, d_z = 20, Mimic = mi_diff, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.31909613210688, Est. CMI = 2.1531591415405273 +- 0.04168490320444107, 
2019_05_27_16_07_45 : Category F, N = 50k, d_z = 20, Mimic = mi_diff, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.31909613210688, Est. CMI = 2.1965317726135254 +- 0.02059466764330864, 
2019_05_27_16_23_10 : Category F, N = 20k, d_z = 1, Mimic = mi_diff, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.326449908485932, Est. CMI = 2.3010036945343018 +- 0.04098314046859741, 
2019_05_27_16_39_05 : Category F, N = 20k, d_z = 10, Mimic = mi_diff, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.32225990892523, Est. CMI = 2.1762962341308594 +- 0.040572937577962875, 
2019_05_27_16_55_18 : Category F, N = 20k, d_z = 50, Mimic = mi_diff, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.3249961655254934, Est. CMI = 1.9796870946884155 +- 0.06342486292123795, 
2019_05_27_17_10_30 : Category F, N = 20k, d_z = 100, Mimic = mi_diff, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.324638071124082, Est. CMI = 1.6687803268432617 +- 0.089976966381073, 
2019_05_27_17_15_06 : Category G, N = 5k, d_z = 20, Mimic = mi_diff, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.318655442781739, Est. CMI = 2.000852108001709 +- 0.08860208094120026, 
2019_05_27_17_23_45 : Category G, N = 10k, d_z = 20, Mimic = mi_diff, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.318655442781739, Est. CMI = 2.0484983921051025 +- 0.08681149780750275, 
2019_05_27_17_37_27 : Category G, N = 20k, d_z = 20, Mimic = mi_diff, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.318655442781739, Est. CMI = 2.121248245239258 +- 0.04982438310980797, 
2019_05_27_18_09_28 : Category G, N = 50k, d_z = 20, Mimic = mi_diff, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.318655442781739, Est. CMI = 2.186053514480591 +- 0.028424439951777458, 
2019_05_27_18_22_43 : Category G, N = 20k, d_z = 1, Mimic = mi_diff, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.3074116810974807, Est. CMI = 2.253859281539917 +- 0.040511343628168106, 
2019_05_27_18_36_01 : Category G, N = 20k, d_z = 10, Mimic = mi_diff, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 2.3182682856317696, Est. CMI = 2.1938271522521973 +- 0.03240811079740524, 
