2019_05_27_19_37_24 : Category F, N = 5k, d_z = 20, Mimic = mi_diff, Tester = Neural, Metric = f_divergence, : True CMI = 2.31909613210688, Est. CMI = 1.2605087757110596 +- 0.04855772852897644, 
2019_05_27_20_04_29 : Category F, N = 10k, d_z = 20, Mimic = mi_diff, Tester = Neural, Metric = f_divergence, : True CMI = 2.31909613210688, Est. CMI = 1.8769464492797852 +- 0.051956236362457275, 
2019_05_27_20_53_28 : Category F, N = 20k, d_z = 20, Mimic = mi_diff, Tester = Neural, Metric = f_divergence, : True CMI = 2.31909613210688, Est. CMI = 2.0885708332061768 +- 0.0865030437707901, 
2019_05_27_22_51_52 : Category F, N = 50k, d_z = 20, Mimic = mi_diff, Tester = Neural, Metric = f_divergence, : True CMI = 2.31909613210688, Est. CMI = 2.133643627166748 +- 0.045958779752254486, 
2019_05_27_23_43_10 : Category F, N = 20k, d_z = 1, Mimic = mi_diff, Tester = Neural, Metric = f_divergence, : True CMI = 2.326449908485932, Est. CMI = 2.230522632598877 +- 0.039025187492370605, 
2019_05_28_00_39_59 : Category F, N = 20k, d_z = 10, Mimic = mi_diff, Tester = Neural, Metric = f_divergence, : True CMI = 2.32225990892523, Est. CMI = 2.1423087120056152 +- 0.09908775985240936, 
2019_05_28_01_38_15 : Category F, N = 20k, d_z = 50, Mimic = mi_diff, Tester = Neural, Metric = f_divergence, : True CMI = 2.3249961655254934, Est. CMI = 1.4656670093536377 +- 0.21499858796596527, 
2019_05_28_02_39_09 : Category F, N = 20k, d_z = 100, Mimic = mi_diff, Tester = Neural, Metric = f_divergence, : True CMI = 2.324638071124082, Est. CMI = -7.097996711730957 +- 14.502358436584473, 
2019_05_28_02_54_36 : Category G, N = 5k, d_z = 20, Mimic = mi_diff, Tester = Neural, Metric = f_divergence, : True CMI = 2.318655442781739, Est. CMI = 0.8617632985115051 +- 0.055028773844242096, 
2019_05_28_03_22_56 : Category G, N = 10k, d_z = 20, Mimic = mi_diff, Tester = Neural, Metric = f_divergence, : True CMI = 2.318655442781739, Est. CMI = 1.5965831279754639 +- 0.05254377797245979, 
2019_05_28_04_21_46 : Category G, N = 20k, d_z = 20, Mimic = mi_diff, Tester = Neural, Metric = f_divergence, : True CMI = 2.318655442781739, Est. CMI = 2.0408787727355957 +- 0.032672908157110214, 
2019_05_28_06_40_10 : Category G, N = 50k, d_z = 20, Mimic = mi_diff, Tester = Neural, Metric = f_divergence, : True CMI = 2.318655442781739, Est. CMI = 2.13173770904541 +- 0.061518196016550064, 
2019_05_28_07_30_44 : Category G, N = 20k, d_z = 1, Mimic = mi_diff, Tester = Neural, Metric = f_divergence, : True CMI = 2.3074116810974807, Est. CMI = 2.18650484085083 +- 0.05911809206008911, 
